qsort CPU 0.033042
set inverses CPU 0.019948
Scaling parameter is 1024
499<-371<-444<-0 adds 1067 incremental flow
499<-192<-386<-17<-0 adds 1043 incremental flow
499<-100<-39<-234<-0 adds 1087 incremental flow
499<-431<-322<-395<-196<-0 adds 1053 incremental flow
499<-450<-261<-143<-317<-0 adds 1080 incremental flow
499<-97<-349<-36<-235<-73<-0 adds 1083 incremental flow
499<-238<-424<-105<-490<-449<-0 adds 1044 incremental flow
499<-402<-360<-101<-322<-390<-323<-0 adds 1034 incremental flow
499<-109<-467<-262<-91<-336<-314<-121<-0 adds 1059 incremental flow
Scaling parameter is 512
499<-0 adds 821 incremental flow
499<-94<-0 adds 594 incremental flow
499<-144<-0 adds 613 incremental flow
499<-158<-0 adds 700 incremental flow
499<-165<-0 adds 540 incremental flow
499<-399<-0 adds 731 incremental flow
499<-410<-0 adds 660 incremental flow
499<-425<-0 adds 532 incremental flow
499<-457<-0 adds 512 incremental flow
499<-460<-0 adds 531 incremental flow
499<-466<-0 adds 533 incremental flow
499<-21<-1<-0 adds 524 incremental flow
499<-218<-7<-0 adds 567 incremental flow
499<-66<-13<-0 adds 571 incremental flow
499<-32<-18<-0 adds 563 incremental flow
499<-26<-22<-0 adds 593 incremental flow
499<-164<-35<-0 adds 580 incremental flow
499<-28<-38<-0 adds 789 incremental flow
499<-68<-42<-0 adds 591 incremental flow
499<-149<-42<-0 adds 580 incremental flow
499<-138<-50<-0 adds 513 incremental flow
499<-54<-60<-0 adds 531 incremental flow
499<-279<-64<-0 adds 591 incremental flow
499<-211<-71<-0 adds 541 incremental flow
499<-166<-74<-0 adds 563 incremental flow
499<-201<-74<-0 adds 544 incremental flow
499<-96<-82<-0 adds 525 incremental flow
499<-273<-84<-0 adds 525 incremental flow
499<-230<-85<-0 adds 518 incremental flow
499<-58<-98<-0 adds 566 incremental flow
499<-183<-98<-0 adds 562 incremental flow
499<-347<-98<-0 adds 530 incremental flow
499<-73<-103<-0 adds 559 incremental flow
499<-27<-105<-0 adds 548 incremental flow
499<-153<-116<-0 adds 566 incremental flow
499<-156<-120<-0 adds 533 incremental flow
499<-151<-125<-0 adds 554 incremental flow
499<-179<-161<-0 adds 551 incremental flow
499<-386<-161<-0 adds 527 incremental flow
499<-236<-172<-0 adds 537 incremental flow
499<-111<-175<-0 adds 691 incremental flow
499<-108<-177<-0 adds 538 incremental flow
499<-237<-193<-0 adds 516 incremental flow
499<-326<-194<-0 adds 583 incremental flow
499<-210<-217<-0 adds 522 incremental flow
499<-195<-219<-0 adds 551 incremental flow
499<-332<-221<-0 adds 559 incremental flow
499<-339<-226<-0 adds 537 incremental flow
499<-188<-233<-0 adds 534 incremental flow
499<-266<-264<-0 adds 528 incremental flow
499<-334<-285<-0 adds 603 incremental flow
499<-115<-288<-0 adds 554 incremental flow
499<-327<-289<-0 adds 596 incremental flow
499<-434<-304<-0 adds 570 incremental flow
499<-216<-306<-0 adds 512 incremental flow
499<-412<-320<-0 adds 581 incremental flow
499<-469<-325<-0 adds 548 incremental flow
499<-216<-345<-0 adds 518 incremental flow
499<-263<-359<-0 adds 598 incremental flow
499<-216<-363<-0 adds 526 incremental flow
499<-475<-363<-0 adds 571 incremental flow
499<-75<-364<-0 adds 589 incremental flow
499<-397<-376<-0 adds 749 incremental flow
499<-318<-384<-0 adds 563 incremental flow
499<-307<-394<-0 adds 548 incremental flow
499<-435<-409<-0 adds 556 incremental flow
499<-148<-416<-0 adds 517 incremental flow
499<-424<-431<-0 adds 587 incremental flow
499<-335<-442<-0 adds 517 incremental flow
499<-451<-465<-0 adds 621 incremental flow
499<-437<-470<-0 adds 554 incremental flow
499<-282<-25<-145<-0 adds 513 incremental flow
499<-493<-1<-181<-0 adds 515 incremental flow
499<-483<-119<-241<-0 adds 545 incremental flow
499<-461<-174<-241<-0 adds 687 incremental flow
499<-426<-257<-261<-0 adds 519 incremental flow
Scaling parameter is 256
499<-41<-0 adds 325 incremental flow
499<-63<-0 adds 351 incremental flow
499<-69<-0 adds 442 incremental flow
499<-109<-0 adds 262 incremental flow
499<-113<-0 adds 374 incremental flow
499<-129<-0 adds 497 incremental flow
499<-162<-0 adds 349 incremental flow
499<-188<-0 adds 459 incremental flow
499<-219<-0 adds 358 incremental flow
499<-292<-0 adds 289 incremental flow
499<-304<-0 adds 335 incremental flow
499<-310<-0 adds 289 incremental flow
499<-341<-0 adds 306 incremental flow
